Date,Amount,Merchant,Category,Notes
2025-06-10,-100.0,Transfer,Transfer,
2024-10-30,-25.0,Withdrawal,Uncategorized,
2024-08-12,10.0,Transfer,Transfer,
2024-06-21,-15.0,Transfer,Transfer,
2024-05-31,-200.0,Transfer,Transfer,
2024-05-12,35.0,Transfer,Transfer,
2024-04-13,-20.0,Transfer,Transfer,
2024-03-26,-400.0,Withdrawal,Uncategorized,
2024-03-25,400.0,Transfer,Transfer,
2024-03-24,20.0,Transfer,Transfer,
2024-02-22,-34.0,Transfer,Transfer,
2023-09-14,-10.0,Last Futurist,Business Utilities & Communication,
2023-09-01,-85.0,Withdrawal,Uncategorized,
2023-09-01,85.0,Transfer,Transfer,
2023-08-27,-12.11,Metropolitan Market,Groceries,
2023-08-27,-4.95,Metropolitan Market,Groceries,
2023-08-08,34.0,Transfer,Transfer,
2023-04-17,0.62,Deposit,Other Income,
2023-04-17,1.87,Deposit,Other Income,
2023-04-17,0.23,Deposit,Other Income,
2023-04-17,-147.94,Point of Sale,Uncategorized,
2023-04-16,0.33,Deposit,Other Income,
2023-04-16,12.53,Deposit,Other Income,
2023-04-15,0.89,Deposit,Other Income,
2023-04-15,1.62,Deposit,Other Income,
2023-04-15,1.33,Deposit,Other Income,
2023-04-14,0.22,Deposit,Other Income,
2023-04-14,0.33,Deposit,Other Income,
2023-04-14,0.2,Deposit,Other Income,
2023-04-13,0.33,Deposit,Other Income,
2023-04-12,0.2,Deposit,Other Income,
2023-04-12,0.36,Deposit,Other Income,
2023-04-11,0.06,Deposit,Other Income,
2023-04-11,1.4,Deposit,Other Income,
2023-04-11,0.15,Deposit,Other Income,
2023-04-11,0.03,Deposit,Other Income,
2023-04-10,1.25,Deposit,Other Income,
2023-04-10,0.55,Deposit,Other Income,
2023-04-08,0.4,Deposit,Other Income,
2023-04-08,4.76,Deposit,Other Income,
2023-04-08,0.91,Deposit,Other Income,
2023-04-08,2.05,Deposit,Other Income,
2023-04-07,0.07,Deposit,Other Income,
2023-04-07,1.3,Deposit,Other Income,
2023-04-07,1.08,Deposit,Other Income,
2023-04-06,0.01,Deposit,Other Income,
2023-04-06,1.38,Deposit,Other Income,
2023-04-06,0.2,Deposit,Other Income,
2023-04-03,0.3,Deposit,Other Income,
2023-04-03,0.04,Deposit,Other Income,
2023-04-03,0.04,Deposit,Other Income,
2023-04-03,0.34,Deposit,Other Income,
2023-04-03,0.08,Deposit,Other Income,
2023-04-03,0.09,Deposit,Other Income,
2023-04-03,0.3,Deposit,Other Income,
2023-04-02,1.07,Deposit,Other Income,
2023-04-02,0.15,Deposit,Other Income,
2023-04-02,0.15,Deposit,Other Income,
2023-04-02,0.15,Deposit,Other Income,
2023-04-02,0.1,Deposit,Other Income,
2023-04-02,1.1,Deposit,Other Income,
2023-04-02,5.04,Deposit,Other Income,
2023-03-29,0.17,Deposit,Other Income,
2023-03-29,0.13,Deposit,Other Income,
2023-03-29,0.05,Deposit,Other Income,
2023-03-27,0.35,Deposit,Other Income,
2023-03-27,0.13,Deposit,Other Income,
2023-03-27,0.18,Deposit,Other Income,
2023-03-27,0.36,Deposit,Other Income,
2023-03-27,0.2,Deposit,Other Income,
2023-03-26,0.96,Deposit,Other Income,
2023-03-26,1.2,Deposit,Other Income,
2023-03-25,0.21,Deposit,Other Income,
2023-03-23,2.56,Deposit,Other Income,
2023-03-22,0.51,Deposit,Other Income,
2023-03-21,2.08,Deposit,Other Income,
2023-03-21,0.44,Deposit,Other Income,
2023-03-21,0.55,Deposit,Other Income,
2023-03-20,0.3,Deposit,Other Income,
2023-03-20,0.01,Deposit,Other Income,
2023-03-20,0.13,Deposit,Other Income,
2023-03-19,0.04,Deposit,Other Income,
2023-03-18,0.28,Deposit,Other Income,
2023-03-17,1.87,Deposit,Other Income,
2023-03-17,3.16,Deposit,Other Income,
2023-03-15,0.13,Deposit,Other Income,
2023-03-15,0.22,Deposit,Other Income,
2023-03-15,0.99,Deposit,Other Income,
2023-03-15,0.39,Deposit,Other Income,
2023-03-15,1.62,Deposit,Other Income,
2023-03-15,0.3,Deposit,Other Income,
2023-03-14,0.33,Deposit,Other Income,
2023-03-14,0.17,Deposit,Other Income,
2023-03-14,0.99,Deposit,Other Income,
2023-03-14,0.2,Deposit,Other Income,
2023-03-14,5.62,Deposit,Other Income,
2023-03-13,1.48,Deposit,Other Income,
2023-03-12,0.59,Deposit,Other Income,
2023-03-12,4.52,Deposit,Other Income,
2023-03-12,1.01,Deposit,Other Income,
2023-03-12,1.48,Deposit,Other Income,
2023-03-12,0.2,Deposit,Other Income,
2023-03-11,0.17,Deposit,Other Income,
2023-03-11,0.15,Deposit,Other Income,
2023-03-11,0.1,Deposit,Other Income,
2023-03-09,0.19,Deposit,Other Income,
2023-03-09,0.73,Deposit,Other Income,
2023-03-09,0.28,Deposit,Other Income,
2023-03-09,0.35,Deposit,Other Income,
2023-03-08,0.52,Deposit,Other Income,
2023-03-08,3.76,Deposit,Other Income,
2023-03-07,0.07,Deposit,Other Income,
2023-03-07,0.64,Deposit,Other Income,
2023-03-06,1.11,Deposit,Other Income,
2023-03-04,0.39,Deposit,Other Income,
2023-03-03,0.04,Deposit,Other Income,
2023-03-03,0.09,Deposit,Other Income,
2023-03-02,0.13,Deposit,Other Income,
2023-03-02,0.08,Deposit,Other Income,
2023-03-01,0.4,Deposit,Other Income,
2023-03-01,0.35,Deposit,Other Income,
2023-03-01,0.19,Deposit,Other Income,
2023-03-01,2.26,Deposit,Other Income,
2023-02-28,0.59,Deposit,Other Income,
2023-02-28,0.28,Deposit,Other Income,
2023-02-27,0.4,Deposit,Other Income,
2023-02-27,0.2,Deposit,Other Income,
2023-02-27,0.2,Deposit,Other Income,
2023-02-27,0.2,Deposit,Other Income,
2023-02-27,0.32,Deposit,Other Income,
2023-02-25,0.3,Deposit,Other Income,
2023-02-25,0.21,Deposit,Other Income,
2023-02-24,0.9,Deposit,Other Income,
2023-02-18,1.83,Deposit,Other Income,
2023-02-17,3.63,Deposit,Other Income,
2023-02-17,2.77,Deposit,Other Income,
2023-02-17,0.09,Deposit,Other Income,
2023-02-15,0.23,Deposit,Other Income,
2023-02-15,0.45,Deposit,Other Income,
2023-02-15,0.45,Deposit,Other Income,
2023-02-15,1.81,Deposit,Other Income,
2023-02-14,0.22,Deposit,Other Income,
2023-02-13,0.21,Deposit,Other Income,
2023-02-13,0.33,Deposit,Other Income,
2023-02-13,0.17,Deposit,Other Income,
2023-02-13,2.53,Deposit,Other Income,
2023-02-11,1.3,Deposit,Other Income,
2023-02-11,0.07,Deposit,Other Income,
2023-02-11,0.1,Deposit,Other Income,
2023-02-11,0.15,Deposit,Other Income,
2023-02-10,0.29,Deposit,Other Income,
2023-02-10,0.09,Deposit,Other Income,
2023-02-10,0.99,Deposit,Other Income,
2023-02-09,0.9,Deposit,Other Income,
2023-02-08,-164.05,Apple,Electronics,
2023-02-07,0.07,Deposit,Other Income,
2023-02-07,0.67,Deposit,Other Income,
2023-02-03,0.04,Deposit,Other Income,
2023-02-03,0.08,Deposit,Other Income,
2023-02-03,0.16,Deposit,Other Income,
2023-02-02,0.44,Deposit,Other Income,
2023-02-02,2.01,Deposit,Other Income,
2023-02-02,0.44,Deposit,Other Income,
2023-02-02,0.17,Deposit,Other Income,
2023-01-31,1.66,Deposit,Other Income,
2023-01-31,0.56,Deposit,Other Income,
2023-01-31,1.07,Deposit,Other Income,
2023-01-31,0.56,Deposit,Other Income,
2023-01-31,1.07,Deposit,Other Income,
2023-01-30,0.9,Deposit,Other Income,
2023-01-30,0.21,Deposit,Other Income,
2023-01-30,1.11,Deposit,Other Income,
2023-01-29,0.44,Deposit,Other Income,
2023-01-29,2.53,Deposit,Other Income,
2023-01-29,0.27,Deposit,Other Income,
2023-01-29,0.13,Deposit,Other Income,
2023-01-29,0.44,Deposit,Other Income,
2023-01-28,1.78,Deposit,Other Income,
2023-01-27,0.2,Deposit,Other Income,
2023-01-26,0.11,Deposit,Other Income,
2023-01-25,0.9,Deposit,Other Income,
2023-01-25,3.31,Deposit,Other Income,
2023-01-25,0.55,Deposit,Other Income,
2023-01-25,0.21,Deposit,Other Income,
