Date,Amount,Merchant,Category,Notes
2024-12-01,0.62,Interest,Interest Gains,
2024-11-04,0.53,Deposit,Other Income,
2024-11-04,0.32,Deposit,Other Income,
2024-11-01,0.64,Interest,Interest Gains,
2024-10-01,0.64,Interest,Interest Gains,
2024-09-21,2.15,Deposit,Other Income,
2024-09-01,0.67,Interest,Interest Gains,
2024-08-01,0.66,Interest,Interest Gains,
2024-07-01,0.64,Interest,Interest Gains,
2024-06-01,0.66,Interest,Interest Gains,
2024-05-26,0.08,Deposit,Other Income,
2024-05-01,0.62,Interest,Interest Gains,
2024-04-25,0.08,Deposit,Other Income,
2024-04-14,0.36,Deposit,Other Income,
2024-04-13,0.98,Deposit,Other Income,
2024-04-08,2.53,Deposit,Other Income,
2024-04-07,9.3,Deposit,Other Income,
2024-04-05,0.95,Deposit,Other Income,
2024-04-04,1.24,Deposit,Other Income,
2024-04-02,0.24,Deposit,Other Income,
2024-04-02,1.83,Deposit,Other Income,
2024-04-02,8.85,Deposit,Other Income,
2024-04-01,0.55,Interest,Interest Gains,
2024-03-30,1.32,Deposit,Other Income,
2024-03-29,0.4,Deposit,Other Income,
2024-03-26,0.08,Deposit,Other Income,
2024-03-18,0.73,Deposit,Other Income,
2024-03-18,1.21,Deposit,Other Income,
2024-03-18,0.79,Deposit,Other Income,
2024-03-18,1.75,Deposit,Other Income,
2024-03-15,2.82,Deposit,Other Income,
2024-03-06,0.1,Deposit,Other Income,
2024-03-06,0.16,Deposit,Other Income,
2024-03-04,1.38,Deposit,Other Income,
2024-03-03,0.16,Deposit,Other Income,
2024-03-03,0.28,Deposit,Other Income,
2024-03-02,0.59,Deposit,Other Income,
2024-03-01,0.48,Interest,Interest Gains,
2024-02-26,0.08,Deposit,Other Income,
2024-02-13,0.09,Deposit,Other Income,
2024-02-11,0.42,Deposit,Other Income,
2024-02-10,0.16,Deposit,Other Income,
2024-02-10,1.05,Deposit,Other Income,
2024-02-09,0.75,Deposit,Other Income,
2024-02-09,2.68,Deposit,Other Income,
2024-02-09,0.09,Deposit,Other Income,
2024-02-09,0.46,Deposit,Other Income,
2024-02-08,0.21,Deposit,Other Income,
2024-02-08,0.51,Deposit,Other Income,
2024-02-08,0.21,Deposit,Other Income,
2024-02-07,0.1,Deposit,Other Income,
2024-02-07,0.23,Deposit,Other Income,
2024-02-06,0.33,Deposit,Other Income,
2024-02-06,0.95,Deposit,Other Income,
2024-02-05,1.83,Deposit,Other Income,
2024-02-05,0.11,Deposit,Other Income,
2024-02-05,0.65,Deposit,Other Income,
2024-02-05,0.25,Deposit,Other Income,
2024-02-04,2.94,Deposit,Other Income,
2024-02-04,0.93,Deposit,Other Income,
2024-02-03,0.63,Deposit,Other Income,
2024-02-03,0.11,Deposit,Other Income,
2024-02-03,0.44,Deposit,Other Income,
2024-02-01,0.45,Interest,Interest Gains,
2024-01-26,0.08,Deposit,Other Income,
2024-01-01,0.42,Interest,Interest Gains,
2023-12-26,0.08,Deposit,Other Income,
2023-12-19,1.28,Deposit,Other Income,
2023-12-13,0.5,Deposit,Other Income,
2023-12-04,2.62,Deposit,Other Income,
2023-12-03,3.87,Deposit,Other Income,
2023-12-01,0.38,Interest,Interest Gains,
2023-11-25,0.08,Deposit,Other Income,
2023-11-01,0.4,Interest,Interest Gains,
2023-10-26,0.08,Deposit,Other Income,
2023-10-01,0.37,Interest,Interest Gains,
2023-09-26,0.08,Deposit,Other Income,
2023-09-06,2.14,Deposit,Other Income,
2023-09-05,0.84,Deposit,Other Income,
2023-09-05,0.24,Deposit,Other Income,
2023-09-05,0.79,Deposit,Other Income,
2023-09-01,0.38,Interest,Interest Gains,
2023-08-26,0.08,Deposit,Other Income,
2023-08-17,2.38,Deposit,Other Income,
2023-08-07,2.25,Deposit,Other Income,
2023-08-02,1.82,Deposit,Other Income,
2023-08-01,0.35,Interest,Interest Gains,
2023-07-26,0.08,Deposit,Other Income,
2023-07-04,0.44,Deposit,Other Income,
2023-07-01,0.34,Interest,Interest Gains,
2023-06-26,0.08,Deposit,Other Income,
2023-06-05,0.16,Deposit,Other Income,
2023-06-04,0.36,Deposit,Other Income,
2023-06-01,0.34,Interest,Interest Gains,
2023-05-25,0.08,Deposit,Other Income,
2023-05-01,0.16,Interest,Interest Gains,
2023-04-25,0.08,Deposit,Other Income,
2023-04-17,100.0,Deposit,Other Income,
