Date,Amount,Merchant,Category,Notes
2024-12-01,-125.44,Interest,Interest Charge,
2024-11-30,194.0,Bill Payment,Transfer,
2024-11-02,-16.13,Safeway,Groceries,
2024-11-02,-26.46,Safeway,Groceries,
2024-11-01,-130.16,Interest,Interest Charge,
2024-10-31,193.0,Bill Payment,Transfer,
2024-10-01,-128.55,Interest,Interest Charge,
2024-09-30,198.0,Bill Payment,Transfer,
2024-09-20,-107.25,Lost Lands Music Festival,Clothing,
2024-09-01,-133.52,Interest,Interest Charge,
2024-08-31,200.0,Bill Payment,Transfer,
2024-08-01,-134.81,Interest,Interest Charge,
2024-07-31,197.0,Bill Payment,Transfer,
2024-07-01,-131.72,Interest,Interest Charge,
2024-06-30,122.0,Bill Payment,Transfer,
2024-06-28,80.0,Bill Payment,Transfer,
2024-06-01,-136.2,Interest,Interest Charge,
2024-05-25,-7.71,Furbo Pet Camera,Business Utilities & Communication,
2024-05-22,195.0,Bill Payment,Transfer,
2024-05-01,-128.41,Interest,Interest Charge,
2024-04-25,-7.71,Furbo Pet Camera,Business Utilities & Communication,
2024-04-14,200.0,Bill Payment,Transfer,
2024-04-13,-18.02,Petco,Pets,
2024-04-12,-48.98,Metropolitan Market,Groceries,
2024-04-08,-126.26,H Mart,Groceries,
2024-04-06,-465.2,Arbor Eyecare,Medical,
2024-04-04,-47.56,Safeway,Groceries,
2024-04-03,-61.8,Petco,Pets,
2024-04-01,-12.15,Metropolitan Market,Groceries,
2024-04-01,-442.55,VCA Animal Hospitals,Pets,
2024-04-01,-106.37,Interest,Interest Charge,
2024-03-31,-91.56,Tanoor,Restaurants & Bars,
2024-03-31,140.0,Bill Payment,Transfer,
2024-03-29,-66.24,Safeway,Groceries,
2024-03-29,-20.21,Petco,Pets,
2024-03-25,-7.7,Furbo Pet Camera,Business Utilities & Communication,
2024-03-18,-87.44,Anthony's Restaurants,Restaurants & Bars,
2024-03-18,-39.67,Sephora,Personal,
2024-03-18,-60.63,Nordstrom Rack,Shopping,
2024-03-17,-36.29,Smoke Plus,Shopping,
2024-03-14,-141.22,Big Fish Sushi,Restaurants & Bars,
2024-03-05,-7.78,The Summit at Snoqualmie,Entertainment & Recreation,
2024-03-05,-4.76,The Summit at Snoqualmie,Entertainment & Recreation,
2024-03-03,-14.0,Brown Bear Car Wash,Auto Maintenance,
2024-03-03,-68.86,Metropolitan Market,Groceries,
2024-03-03,-8.05,Chevron,Gas,
2024-03-01,-90.99,Interest,Interest Charge,
2024-02-29,-29.69,Alpental,Entertainment & Recreation,
2024-02-29,125.0,Bill Payment,Transfer,
2024-02-25,-7.7,Furbo Pet Camera,Business Utilities & Communication,
2024-02-11,-4.28,Yul Cafe Montreal Bage,Restaurants & Bars,
2024-02-10,-20.83,Restaurant La Fourchette Du Diable,Restaurants & Bars,
2024-02-09,-52.4,Le Grand Manitou,Shopping,
2024-02-09,-7.98,Le Grand Manitou,Restaurants & Bars,
2024-02-08,-25.52,Tremblant,Travel & Vacation,
2024-02-08,-134.24,SAQ,Restaurants & Bars,
2024-02-08,-4.46,Cabane a Sucre De La Montagne,Groceries,
2024-02-08,-22.82,SAQ,Restaurants & Bars,
2024-02-08,-37.41,Boutique,Shopping,
2024-02-07,-10.56,Le Grand Manitou,Restaurants & Bars,
2024-02-07,-10.7,Tremblant,Travel & Vacation,
2024-02-06,-11.6,Pop Therapy,Groceries,
2024-02-06,-5.06,Le Grand Manitou,Restaurants & Bars,
2024-02-05,-16.7,Pop Therapy,Groceries,
2024-02-04,-5.37,Le Grand Manitou,Restaurants & Bars,
2024-02-04,-47.37,Le Dépanneur Les Deux Soeurs Inc,Groceries,
2024-02-04,-91.69,Homewood Suites,Restaurants & Bars,
2024-02-03,-46.7,SAQ,Restaurants & Bars,
2024-02-03,-146.87,Boutique,Shopping,
2024-02-03,-32.28,Restaurant La Fourchette Du Diable,Restaurants & Bars,
2024-02-03,-12.35,Le Grand Manitou,Restaurants & Bars,
2024-02-02,-5.5,Plum Market,Restaurants & Bars,
2024-02-01,-22.01,Petco,Pets,
2024-02-01,-31.44,Safeway,Groceries,
2024-02-01,-84.41,Interest,Interest Charge,
2024-01-31,125.0,Bill Payment,Transfer,
2024-01-25,-7.7,Furbo Pet Camera,Business Utilities & Communication,
2024-01-01,-83.81,Interest,Interest Charge,
2023-12-31,112.0,Bill Payment,Transfer,
2023-12-25,-7.7,Furbo,Business Utilities & Communication,
2023-12-19,-63.81,Old Navy,Clothing,
2023-12-12,-24.98,Mud Bay Pet Supplies,Pets,
2023-12-02,-130.96,Town & Country Markets,Groceries,
2023-12-01,-193.44,Safeway,Groceries,
2023-12-01,-74.64,Interest,Interest Charge,
2023-11-30,115.0,Bill Payment,Transfer,
2023-11-25,-7.7,Furbo,Business Utilities & Communication,
2023-11-01,-77.74,Interest,Interest Charge,
2023-10-31,113.0,Bill Payment,Transfer,
2023-10-25,-7.7,Furbo,Business Utilities & Communication,
2023-10-01,-75.11,Interest,Interest Charge,
2023-09-30,109.0,Bill Payment,Transfer,
2023-09-25,-7.7,Furbo,Business Utilities & Communication,
2023-09-05,-107.21,Safeway,Groceries,
2023-09-05,-39.31,Trader Joe's,Groceries,
2023-09-04,-41.91,Metropolitan Market,Groceries,
2023-09-04,-11.85,Metropolitan Market,Groceries,
2023-09-01,-72.75,Interest,Interest Charge,
2023-08-31,101.0,Bill Payment,Transfer,
2023-08-25,-7.7,Furbo,Business Utilities & Communication,
2023-08-16,-118.91,Sephora,Personal,
2023-08-06,-112.7,The Shrimp Shack,Restaurants & Bars,
2023-08-01,-67.58,Interest,Interest Charge,
2023-07-31,99.0,Bill Payment,Transfer,
2023-07-30,-91.21,Jang Soo Tofu,Restaurants & Bars,
2023-07-25,-7.7,Furbo,Business Utilities & Communication,
2023-07-04,-21.87,Papa John's,Restaurants & Bars,
