Date,Amount,Merchant,Category,Notes
2025-06-23,0.05,Deposit,Other Income,
2025-06-23,0.22,Deposit,Other Income,
2025-06-23,0.87,Deposit,Other Income,
2025-06-23,0.03,Deposit,Other Income,
2025-06-22,0.79,Deposit,Other Income,
2025-06-22,0.44,Deposit,Other Income,
2025-06-21,0.25,Deposit,Other Income,
2025-06-20,0.12,Deposit,Other Income,
2025-06-18,0.3,Deposit,Other Income,
2025-06-18,0.09,Deposit,Other Income,
2025-06-18,0.1,Deposit,Other Income,
2025-06-18,0.18,Deposit,Other Income,
2025-06-17,0.91,Deposit,Other Income,
2025-06-15,0.22,Deposit,Other Income,
2025-06-15,0.21,Deposit,Other Income,
2025-06-15,0.11,Deposit,Other Income,
2025-06-15,7.35,Deposit,Other Income,
2025-06-15,0.55,Deposit,Other Income,
2025-06-14,0.54,Deposit,Other Income,
2025-06-14,3.25,Deposit,Other Income,
2025-06-12,0.22,Deposit,Other Income,
2025-06-12,0.22,Deposit,Other Income,
2025-06-10,0.25,Deposit,Other Income,
2025-06-10,0.38,Deposit,Other Income,
2025-06-10,0.37,Deposit,Other Income,
2025-06-10,0.15,Deposit,Other Income,
2025-06-10,0.3,Deposit,Other Income,
2025-06-09,1.5,Deposit,Other Income,
2025-06-08,1.98,Deposit,Other Income,
2025-06-08,0.55,Deposit,Other Income,
2025-06-06,1.08,Deposit,Other Income,
2025-06-06,0.79,Deposit,Other Income,
2025-06-04,0.24,Deposit,Other Income,
2025-06-04,0.22,Deposit,Other Income,
2025-06-04,0.27,Deposit,Other Income,
2025-06-04,0.67,Deposit,Other Income,
2025-06-03,0.77,Deposit,Other Income,
2025-06-03,0.23,Deposit,Other Income,
2025-06-03,0.01,Deposit,Other Income,
2025-06-03,0.07,Deposit,Other Income,
2025-06-03,1.05,Deposit,Other Income,
2025-06-02,0.18,Deposit,Other Income,
2025-06-02,0.03,Deposit,Other Income,
2025-06-02,0.8,Deposit,Other Income,
2025-06-02,0.89,Deposit,Other Income,
2025-06-01,1.93,Interest,Interest Gains,
2025-05-31,0.3,Deposit,Other Income,
2025-05-31,0.19,Deposit,Other Income,
2025-05-30,0.27,Deposit,Other Income,
2025-05-30,0.54,Deposit,Other Income,
2025-05-29,2.46,Deposit,Other Income,
2025-05-29,0.05,Deposit,Other Income,
2025-05-29,0.27,Deposit,Other Income,
2025-05-28,0.07,Deposit,Other Income,
2025-05-24,0.43,Deposit,Other Income,
2025-05-23,2.5,Deposit,Other Income,
