Date,Amount,Merchant,Category,Notes
2024-09-28,-15.0,Transfer,Transfer,
2024-08-16,-14.37,Withdrawal,Uncategorized,
2024-08-12,-11.63,McDonald's,Restaurants & Bars,
2024-08-12,-10.0,Transfer,Transfer,
2024-07-18,10.0,Transfer,Transfer,
2024-06-21,15.0,Transfer,Transfer,
2024-06-01,11.0,Transfer,Transfer,
2024-03-05,-34.0,Withdrawal,Uncategorized,
2024-02-24,34.0,Transfer,Transfer,
2024-02-20,-44.0,Transfer,Transfer,
2023-09-05,-185.55,Withdrawal,Uncategorized,
2023-09-01,-85.0,Transfer,Transfer,
2023-09-01,-80.0,Transfer,Transfer,
2023-09-01,-10.0,Transfer,Transfer,
2023-09-01,-39.0,Transfer,Transfer,
2023-08-20,102.0,Transfer,Transfer,
2023-08-16,-64.96,Apple,Electronics,
2023-08-15,271.0,Transfer,Transfer,
2023-08-08,-34.0,Transfer,Transfer,
2023-08-07,67.0,Transfer,Transfer,
2023-04-06,47.0,Transfer,Transfer,
2023-03-25,0.08,Deposit,Other Income,
2023-02-24,10.0,Transfer,Transfer,
2023-02-05,0.3,Deposit,Other Income,
2023-01-30,0.35,Deposit,Other Income,
2023-01-23,0.26,Deposit,Other Income,
2023-01-23,0.52,Deposit,Other Income,
2023-01-10,-25.0,Transfer,Transfer,
2022-12-03,0.32,Deposit,Other Income,
2022-12-02,1.88,Deposit,Other Income,
2022-11-20,3.01,Deposit,Other Income,
2022-11-18,293.0,Transfer,Transfer,
2022-11-18,-422.96,Withdrawal,Uncategorized,
2022-11-05,3.86,Deposit,Other Income,
2022-09-07,0.88,Deposit,Other Income,
