Date,Amount,Merchant,Category,Notes,Transaction ID
2022-09-07,0.88,Deposit,Other Income,,192256468411462409
2022-11-05,3.86,Deposit,Other Income,,192256468411462384
2022-11-18,293.0,Transfer,Transfer,,192256468411462379
2022-11-18,-422.96,Withdrawal,Uncategorized,,192256468411462369
2022-11-20,3.01,Deposit,Other Income,,192256468411462374
2022-12-02,1.88,Deposit,Other Income,,192256468411462377
2022-12-03,0.32,Deposit,Other Income,,192256468411462389
2023-01-10,-25.0,Transfer,Transfer,,192256468411462395
2023-01-23,0.26,Deposit,Other Income,,192256468411462391
2023-01-23,0.52,Deposit,Other Income,,192256468411462360
2023-01-30,0.35,Deposit,Other Income,,192256468411462365
2023-02-05,0.3,Deposit,Other Income,,192256468411462380
2023-02-24,10.0,Transfer,Transfer,,192256468411462376
2023-03-25,0.08,Deposit,Other Income,,192256468411462356
2023-04-06,47.0,Transfer,Transfer,,192256468411462396
2023-08-07,67.0,Transfer,Transfer,,192256468411462375
2023-08-08,-34.0,Transfer,Transfer,,192256468411462347
2023-08-15,271.0,Transfer,Transfer,,192256468411462352
2023-08-16,-64.96,Apple,Electronics,,192256468411462394
2023-08-20,102.0,Transfer,Transfer,,192256468411462366
2023-09-01,-85.0,Transfer,Transfer,,192256468411462400
2023-09-01,-80.0,Transfer,Transfer,,192256468411462392
2023-09-01,-10.0,Transfer,Transfer,,192256468411462386
2023-09-01,-39.0,Transfer,Transfer,,192256468411462354
2023-09-05,-185.55,Withdrawal,Uncategorized,,192256468411462383
2024-02-20,-44.0,Transfer,Transfer,,192256468411462349
2024-02-24,34.0,Transfer,Transfer,,192256468411462399
2024-03-05,-34.0,Withdrawal,Uncategorized,,192256468411462405
2024-06-01,11.0,Transfer,Transfer,,192256468411462410
2024-06-21,15.0,Transfer,Transfer,,192256468411462411
2024-07-18,10.0,Transfer,Transfer,,192256468411462412
2024-08-12,-11.63,McDonald's,Restaurants & Bars,,192256468411462414
2024-08-12,-10.0,Transfer,Transfer,,192256468411462413
2024-08-16,-14.37,Withdrawal,Uncategorized,,192256468411462415
2024-09-28,-15.0,Transfer,Transfer,,192256452909314183
